tBodyAcc-std()-X,tBodyAcc-mad()-X,tBodyAcc-max()-X,tBodyAcc-sma(),tGravityAcc-mean()-X,tGravityAcc-max()-X,tGravityAcc-min()-X,tGravityAcc-energy()-X,tBodyAccJerk-entropy()-X,tBodyAccJerk-entropy()-Y,tBodyAccJerk-entropy()-Z,tBodyAccMag-mean(),tBodyAccMag-sma(),tGravityAccMag-mean(),tGravityAccMag-sma(),tBodyAccJerkMag-sma(),tBodyAccJerkMag-entropy(),fBodyAcc-mean()-X,fBodyAcc-std()-X,fBodyAcc-mad()-X,fBodyAcc-sma(),fBodyAcc-entropy()-X,fBodyAcc-entropy()-Y,fBodyAcc-entropy()-Z,fBodyAccJerk-entropy()-X,fBodyAccJerk-entropy()-Y,fBodyAccJerk-entropy()-Z,fBodyAccMag-entropy(),fBodyBodyAccJerkMag-entropy(),"angle(X,gravityMean)",Activity
-0.9952786,-0.99511208,-0.93472378,-0.96552279,0.96339614,0.89205451,0.97743631,0.89946864,-0.81994925,-0.79304645,-0.88885295,-0.95943388,-0.95943388,-0.95943388,-0.95943388,-0.99330586,-0.86341476,-0.99478319,-0.99542175,-0.99688864,-0.97473271,-0.94635692,-0.90474776,-0.59130248,-1.0,-1.0,-1.0,-0.64637645,-1.0,-0.84124676,5
-0.99824528,-0.99880719,-0.94306751,-0.98193011,0.96656113,0.89206031,0.98452014,0.9078289,-0.8750964,-0.6553621,-0.76738085,-0.97928915,-0.97928915,-0.97928915,-0.97928915,-0.99125349,-0.8199283,-0.99745072,-0.99868026,-0.99788967,-0.98581162,-1.0,-0.90474776,-0.75840851,-1.0,-1.0,-1.0,-0.81667357,-1.0,-0.8447876,5
-0.99537956,-0.99651994,-0.93869155,-0.98347777,0.9668781,0.89240056,0.9867701,0.90866783,-0.75362867,-0.67327363,-0.74710675,-0.98370313,-0.98370313,-0.98370313,-0.98370313,-0.98853127,-0.79488418,-0.99359409,-0.99631281,-0.99409744,-0.98582131,-1.0,-0.81578627,-0.81351333,-1.0,-1.0,-1.0,-0.90701426,-1.0,-0.84893347,5
-0.99609149,-0.99709947,-0.93869155,-0.98609328,0.96761519,0.89381715,0.98682105,0.91062071,-0.82080419,-0.75496819,-0.82527857,-0.98654176,-0.98654176,-0.98654176,-0.98654176,-0.99307804,-0.79232145,-0.99549062,-0.99631211,-0.99454681,-0.99281202,-1.0,-0.87039785,-0.94419022,-1.0,-1.0,-1.0,-0.90701426,-1.0,-0.84864938,5
-0.99813862,-0.99832113,-0.94246912,-0.99265311,0.9682244,0.89381715,0.98743352,0.91223466,-0.8507439,-0.74625778,-0.79695964,-0.99282715,-0.99282715,-0.99282715,-0.99282715,-0.99348,-0.85002565,-0.99728592,-0.99860647,-0.99772495,-0.99242325,-1.0,-0.87039785,-0.94419022,-1.0,-1.0,-1.0,-0.90701426,-1.0,-0.84786525,5
-0.99733496,-0.9976274,-0.94246912,-0.9939277,0.9679482,0.89368344,0.98772183,0.91150257,-0.77871779,-0.75496819,-0.79088588,-0.99429499,-0.99429499,-0.99429499,-0.99429499,-0.9930177,-0.87130303,-0.99665675,-0.9976438,-0.99660484,-0.99500234,-1.0,-0.94487044,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.84963158,5
-0.99692104,-0.99700268,-0.94098663,-0.98683671,0.9679295,0.89336965,0.98772183,0.91145298,-0.78792545,-0.72626592,-0.74893104,-0.9874657,-0.9874657,-0.9874657,-0.9874657,-0.9913143,-0.79510756,-0.99584913,-0.99746125,-0.99750802,-0.98574939,-1.0,-0.75795326,-0.86879874,-1.0,-1.0,-1.0,-0.84367061,-1.0,-0.85215025,5
-0.99655926,-0.99648525,-0.94098663,-0.97685142,0.96849148,0.89420478,0.98792586,0.91294266,-0.80735107,-0.67154971,-0.7779456,-0.97745766,-0.97745766,-0.97745766,-0.97745766,-0.99085085,-0.83086271,-0.99519276,-0.99727933,-0.99603738,-0.98899417,-1.0,-0.81578627,-0.88855242,-1.0,-1.0,-1.0,-0.85353087,-1.0,-0.85101671,5
-0.99732847,-0.99759576,-0.94059758,-0.98329507,0.96848115,0.89420478,0.98775397,0.91291536,-0.8750964,-0.66092141,-0.8680572,-0.98363087,-0.98363087,-0.98363087,-0.98363087,-0.99332542,-0.8505403,-0.99709991,-0.99736759,-0.99736252,-0.98877391,-1.0,-0.84996072,-0.88855242,-1.0,-1.0,-1.0,-0.90701426,-1.0,-0.84797148,5
-0.99480344,-0.99540462,-0.94002751,-0.98654074,0.96841804,0.89477777,0.98775397,0.91274816,-0.75395906,-0.52913493,-0.76720791,-0.98677197,-0.98677197,-0.98677197,-0.98677197,-0.98538815,-0.70457476,-0.99351933,-0.99538845,-0.99334566,-0.98605602,-1.0,-0.7868864,-0.80988792,-1.0,-0.93912029,-1.0,-0.90701426,-1.0,-0.84829438,5
-0.99481511,-0.99550927,-0.94002751,-0.9878826,0.96920266,0.89494092,0.98782618,0.91482867,-0.75395906,-0.5763441,-0.66149237,-0.98804033,-0.98804033,-0.98804033,-0.98804033,-0.98441139,-0.72053655,-0.99288633,-0.99581075,-0.99504873,-0.98500091,-1.0,-0.81220504,-0.83788423,-1.0,-1.0,-1.0,-0.90701426,-1.0,-0.85156175,5
-0.99824595,-0.99825127,-0.94390578,-0.9946236,0.96925328,0.89494092,0.98861347,0.91496274,-0.93067589,-0.80663598,-0.73490451,-0.99477563,-0.99477563,-0.99477563,-0.99477563,-0.99279492,-0.87366019,-0.99823935,-0.99818143,-0.99778695,-0.99481893,-1.0,-0.90474776,-0.90357248,-1.0,-1.0,-1.0,-1.0,-1.0,-0.8527234,5
-0.99913488,-0.99907654,-0.94390578,-0.99511608,0.9689963,0.89436796,0.98861347,0.91428105,-0.93067589,-0.79723506,-0.78378958,-0.99532501,-0.99532501,-0.99532501,-0.99532501,-0.99486033,-0.91003285,-0.99937732,-0.99895036,-0.99919352,-0.99750279,-1.0,-0.94487044,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.85065446,5
-0.99918834,-0.99921135,-0.94332286,-0.99656409,0.96904398,0.89436796,0.98889992,0.91440745,-0.8750964,-0.82645564,-0.79015164,-0.99670013,-0.99670013,-0.99670013,-0.99670013,-0.99536254,-0.85091994,-0.99881956,-0.99938998,-0.99860751,-0.99637237,-1.0,-0.94487044,-0.94419022,-1.0,-1.0,-1.0,-1.0,-1.0,-0.84977267,5
-0.98864079,-0.98895795,-0.92597669,-0.90380553,0.94489486,0.87758813,0.94674897,0.85095811,-0.73942203,-0.90022545,-0.804221,-0.90458778,-0.90458778,-0.90458778,-0.90458778,-0.99047837,-0.79068728,-0.98933967,-0.98817595,-0.99010744,-0.94674076,-0.90731609,-0.53546236,-0.72785823,-1.0,-1.0,-1.0,-0.53829907,-1.0,-0.73093729,5
-0.99683904,-0.99709389,-0.9417158,-0.98440195,0.95201342,0.8781599,0.96863457,0.86950975,-0.8507439,-0.98279179,-0.79832704,-0.98446381,-0.98446381,-0.98446381,-0.98446381,-0.99628275,-0.91222498,-0.9956289,-0.99746986,-0.99613179,-0.9904074,-1.0,-0.87039785,-0.83788423,-1.0,-1.0,-1.0,-0.8734817,-1.0,-0.76110079,5
-0.99694116,-0.99721998,-0.9417158,-0.98929607,0.95272437,0.8781599,0.97277627,0.87137227,-0.83927424,-0.85895589,-0.82471931,-0.98904307,-0.98904307,-0.98904307,-0.98904307,-0.99552049,-0.98949309,-0.99619504,-0.99727628,-0.99617412,-0.99315419,-1.0,-0.90474776,-0.84810945,-1.0,-1.0,-1.0,-0.94618223,-1.0,-0.75917219,5
-0.99769492,-0.99801432,-0.94207598,-0.99490653,0.95306401,0.87888016,0.97297016,0.87226299,-0.80735107,-0.83690284,-0.85819973,-0.99507155,-0.99507155,-0.99507155,-0.99507155,-0.99564686,-0.94296457,-0.99683409,-0.9981406,-0.99713821,-0.99448275,-1.0,-0.90474776,-0.90357248,-1.0,-1.0,-1.0,-0.94618223,-1.0,-0.75936327,5
-0.99749074,-0.99790305,-0.94487012,-0.99814286,0.95360569,0.87908726,0.97325777,0.87368389,-0.82823515,-0.87060165,-0.81783861,-0.99872681,-0.99872681,-0.99872681,-0.99872681,-0.99585704,-0.95929863,-0.99680119,-0.99781366,-0.99712409,-0.99739459,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.76105187,5
-0.99781139,-0.99820522,-0.94566163,-0.99741806,0.95359464,0.87908726,0.97336429,0.8736549,-0.86267325,-0.85895589,-0.82029437,-0.99797237,-0.99797237,-0.99797237,-0.99797237,-0.99645316,-0.9962925,-0.99720497,-0.99809595,-0.99709815,-0.99765102,-1.0,-0.94487044,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.76062023,5
-0.99790424,-0.99836517,-0.94147242,-0.99810107,0.95313551,0.87877147,0.97318829,0.87245047,-0.83927424,-0.87060165,-0.76035327,-0.99844133,-0.99844133,-0.99844133,-0.99844133,-0.99547632,-0.92646561,-0.99719829,-0.99825827,-0.9977064,-0.99750413,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.76052773,5
